IGRALEC;EKIPA;POZICIJA;STAROST;VISINA;TEZA;DRZAVA;GP;MPG;PPG;APG;RPG;SPG;FT;2;3
Toney Douglas;MEM;PG;30;6-7;210;Czech Republic;24;16.4;4.9;2.3;2.5;0.75;0.828;0.48;0.167
Tony Allen;MEM;SG;35;6-2;195;USA;71;27;9.1;1.4;5.5;1.62;0.615;0.479;0.278
Tony Parker;SAS;PG;34;6-4;213;USA;63;25.2;10.1;4.5;1.8;0.54;0.726;0.484;0.333
Tony Snell;MIL;SG;25;6-2;185;France;80;29.2;8.5;1.2;3.1;0.69;0.81;0.548;0.406
Treveon Graham;CHA;SG;23;6-7;217;USA;27;7;2.1;0.2;0.8;0.22;0.667;0.4;0.6
Trevor Ariza;HOU;SF;31;6-6;226;USA;80;34.7;11.7;2.2;5.7;1.84;0.738;0.557;0.344
Trevor Booker;BKN;PF;29;6-8;215;USA;71;24.7;10;1.9;8;1.07;0.673;0.547;0.321
Trey Burke;WAS;PG;24;6-8;228;USA;57;12.3;5;1.8;0.8;0.19;0.759;0.459;0.443
Trey Lyles;UTA;PF;21;6-1;191;USA;71;16.3;6.2;1;3.3;0.37;0.722;0.4;0.319
Tristan Thompson;CLE;C;25;6-10;234;USA;78;30;8.1;1;9.2;0.5;0.498;0.604;0
Troy Daniels;MEM;SG;25;6-9;238;Canada;67;17.7;8.2;0.7;1.5;0.3;0.796;0.336;0.389
Troy Williams;MEM;SF;22;6-4;205;USA;24;17.4;5.3;0.8;1.9;1;0.6;0.5;0.244
Ty Lawson;SAC;PG;29;6-7;210;USA;69;25.1;9.9;4.8;2.6;1.07;0.797;0.502;0.288
Tyler Ennis;HOU;PG;22;5-11;195;USA;31;6.3;1.9;1.1;0.6;0.19;0.667;0.396;0.375
Tyler Johnson;MIA;PG;24;6-3;194;Canada;73;29.8;13.7;3.2;4;1.15;0.768;0.46;0.373
Tyler Ulis;PHX;PG;21;6-4;186;USA;61;18.4;7.3;3.7;1.6;0.79;0.775;0.455;0.266
Tyler Zeller;BOS;C;27;5-10;150;USA;51;10.3;3.5;0.8;2.4;0.14;0.564;0.497;0
Tyreke Evans;NOP;SG;27;7-0;253;USA;26;18.2;9.5;3.5;3.3;0.88;0.776;0.446;0.3
Tyson Chandler;PHX;C;34;6-6;220;USA;47;27.6;8.4;0.6;11.5;0.7;0.734;0.671;0
Udonis Haslem;MIA;C;36;6-2;195;USA;16;8.1;1.9;0.4;2.3;0.38;0.6;0.55;0
Victor Oladipo;OKC;SG;24;6-8;235;USA;67;33.2;15.9;2.6;4.3;1.13;0.753;0.491;0.361
Vince Carter;MEM;SG;40;6-4;210;USA;73;24.7;8;1.8;3.1;0.82;0.765;0.418;0.378
Wade Baldwin IV;MEM;PG;20;6-6;220;USA;33;12.3;3.2;1.8;1.4;0.55;0.838;0.355;0.136
Wayne Ellington;MIA;SG;29;6-4;202;USA;62;24.2;10.5;1.1;2.1;0.56;0.86;0.509;0.378
Wayne Selden;MEM;SG;22;6-4;200;USA;11;17.2;5;1.1;1;0.36;0.667;0.586;0.143
Wesley Johnson;LAC;SF;29;6-5;230;USA;68;11.9;2.7;0.3;2.7;0.43;0.647;0.537;0.246
Wesley Matthews;DAL;SG;30;6-7;215;USA;73;34.2;13.5;2.9;3.5;1.05;0.816;0.432;0.363
Will Barton;DEN;SG;26;6-5;220;USA;60;28.4;13.7;3.4;4.3;0.8;0.753;0.483;0.37
Willie Cauley-Stein;SAC;C;23;6-6;175;USA;75;18.9;8.1;1.1;4.5;0.71;0.669;0.532;0
Willie Reed;MIA;C;26;7-0;240;USA;71;14.5;5.3;0.4;4.7;0.25;0.557;0.573;0.25
Willy Hernangomez;NYK;C;22;6-11;245;USA;72;18.4;8.2;1.3;7;0.57;0.728;0.538;0.267
Wilson Chandler;DEN;SF;29;6-11;240;Spain;71;30.9;15.7;2;6.5;0.72;0.727;0.527;0.337
Yogi Ferrell;DAL;PG;23;6-8;225;USA;36;29.1;11.3;4.3;2.7;1.11;0.877;0.421;0.4
Zach LaVine;MIN;SG;21;6-0;180;USA;47;37.2;18.9;3;3.4;0.87;0.836;0.515;0.387
Zach Randolph;MEM;PF;35;6-5;185;USA;73;24.5;14.1;1.7;8.2;0.52;0.731;0.474;0.223
Zaza Pachulia;GSW;C;32;6-9;260;USA;70;18.1;6.1;1.9;5.9;0.84;0.778;0.538;0
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
