IGRALEC;EKIPA;POZICIJA;STAROST;VISINA;TEZA;DRZAVA;GP;MPG;PPG;APG;RPG;SPG;FT;2;3;;;
Dwyane Wade;MIA;SG;36;6-4;220;USA;46;23.2;11.2;3.5;3.9;0.91;0.701;0.479;0.329;;;
Ed Davis;POR;PF;28;6-10;245;USA;78;18.9;5.3;0.5;7.4;0.41;0.667;0.584;0;;;
Edmond Sumner;IND;PG;22;6-5;188;USA;1;2.2;2;0;1;0;0;1;0;;;
Ekpe Udoh;UTA;PF;30;6-10;245;USA;63;12.9;2.6;0.8;2.4;0.68;0.75;0.504;0;;;
Elfrid Payton;PHX;PG;23;6-4;185;USA;44;28.6;13;6.3;4;1.45;0.632;0.545;0.373;;;
Emeka Okafor;NOP;C;35;6-10;255;USA;26;13.6;4.4;0.3;4.6;0.31;0.818;0.505;0;;;
Emmanuel Mudiay;NYK;PG;21;6-5;200;DR Congo;42;17.9;8.5;2.9;2.2;0.5;0.808;0.414;0.373;;;
Enes Kanter;NYK;C;25;6-11;245;Turkey;71;25.8;14.1;1.5;11;0.51;0.848;0.594;0;;;
Eric Bledsoe;MIL;PG;28;6-1;205;USA;71;31.5;17.8;5.1;3.9;2.04;0.793;0.55;0.349;;;
Eric Gordon;HOU;SG;29;6-4;215;USA;69;31.2;18;2.2;2.4;0.65;0.809;0.546;0.359;;;
Eric Moreland;DET;PF;26;6-10;238;USA;67;12;2.1;1.2;4.1;0.46;0.379;0.541;0;;;
Erik McCree;UTA;SF;24;6-8;225;USA;4;1.9;0;0;0.3;0.25;0;0;0;;;
Ersan Ilyasova;PHI;PF;30;6-10;235;Turkey;46;25.6;10.9;1.1;5.5;0.96;0.8;0.532;0.359;;;
E'Twaun Moore;NOP;SG;28;6-4;191;USA;82;31.5;12.5;2.3;2.9;0.94;0.706;0.556;0.425;;;
Evan Fournier;ORL;SG;25;6-7;205;France;57;32.2;17.8;2.9;3.2;0.82;0.867;0.516;0.379;;;
Evan Turner;POR;SG;29;6-7;220;USA;79;25.7;8.2;2.2;3.1;0.59;0.85;0.485;0.318;;;
Frank Kaminsky;CHA;C;24;7-0;242;USA;79;23.2;11.1;1.6;3.6;0.46;0.799;0.459;0.38;;;
Frank Mason;SAC;PG;23;5-11;190;USA;52;18.9;7.9;2.8;2.5;0.65;0.817;0.384;0.36;;;
Frank Ntilikina;NYK;PG;19;6-5;190;France;78;21.9;5.9;3.2;2.3;0.85;0.721;0.385;0.318;;;
Fred VanVleet;TOR;PG;23;6-0;195;USA;76;20;8.6;3.2;2.4;0.89;0.832;0.437;0.414;;;
Furkan Korkmaz;PHI;SG;20;6-7;190;Turkey;14;5.7;1.6;0.3;0.8;0.14;0.5;0.273;0.294;;;
Garrett Temple;SAC;SG;31;6-6;195;USA;65;24.8;8.4;1.9;2.3;0.88;0.769;0.442;0.392;;;
Gary Harris;DEN;SG;23;6-4;210;USA;67;34.4;17.5;2.9;2.6;1.82;0.827;0.553;0.396;;;
Gary Payton II;LAL;PG;25;6-3;190;USA;12;8.8;2.5;0.8;1.4;0.25;0.667;0.524;0.167;;;
George Hill;CLE;PG;31;6-3;188;USA;43;26.6;10.3;2.8;2.7;0.91;0.778;0.48;0.453;;;
Georges Niang;UTA;PF;24;6-6;231;USA;9;3.5;1;0.3;1;0.22;0.5;0.571;0;;;
Georgios Papagiannis;POR;C;20;7-1;240;Greece;16;7.4;2.1;0.6;2.3;0.13;0;0.415;0;;;
Gerald Green;HOU;SG;32;6-7;205;USA;41;22.7;12.1;0.6;3.2;0.59;0.85;0.504;0.369;;;
Gian Clavell;DAL;SG;24;6-4;185;Puerto Rico;7;9.1;2.9;0.4;1;0.29;1;0;0.4;;;
Giannis Antetokounmpo;MIL;PF;23;6-11;222;Greece;75;36.8;26.9;4.8;10;1.45;0.76;0.554;0.307;;;
Glenn Robinson III;IND;SG;24;6-7;215;USA;23;14.7;4.1;0.7;1.6;0.57;0.818;0.431;0.412;;;
Goran Dragic;MIA;PG;31;6-3;190;Slovenia;75;31.7;17.3;4.8;4.1;0.84;0.801;0.481;0.37;;;
Gordon Hayward;BOS;SF;27;6-8;226;USA;1;5.3;2;0;1;0;0;1;0;;;
Gorgui Dieng;MIN;PF;28;6-11;251;Senegal;79;16.9;5.9;0.9;4.6;0.57;0.775;0.511;0.311;;;
Greg Monroe;BOS;C;27;6-11;265;USA;26;19.1;10.2;2.3;6.3;1.08;0.797;0.53;0;;;
Guerschon Yabusele;BOS;PF;22;6-8;260;France;33;7.1;2.4;0.5;1.6;0.12;0.682;0.583;0.324;;;
Harrison Barnes;DAL;SF;25;6-8;225;USA;77;34.2;18.9;2;6.1;0.64;0.827;0.478;0.357;;;
Hassan Whiteside;MIA;C;28;7-0;265;USA;54;25.3;14;1;11.4;0.69;0.703;0.538;1;;;
Henry Ellenson;DET;PF;21;6-11;245;USA;38;8.7;4;0.5;2.1;0.13;0.862;0.384;0.333;;;
Ian Clark;NOP;SG;26;6-3;175;USA;74;19.7;7.4;1.5;1.7;0.45;0.763;0.533;0.318;;;
Ian Mahinmi;WAS;C;31;6-11;262;France;77;14.9;4.8;0.7;4.1;0.49;0.703;0.561;0;;;
Ike Anigbogu;IND;C;19;6-10;262;USA;11;2.7;1.2;0;0.8;0.09;0.833;0.444;0;;;
Iman Shumpert;SAC;SG;27;6-5;220;USA;14;19.7;4.4;1.2;2.9;0.64;0.733;0.469;0.269;;;
Isaiah Canaan;OKC;SG;26;6-0;201;USA;19;22;9.1;4;2.3;0.84;0.902;0.429;0.333;;;
Isaiah Hicks;NYK;PF;23;6-9;242;USA;18;13.3;4.4;0.9;2.3;0.11;0.667;0.492;0.222;;;
Isaiah Taylor;ATL;PG;23;6-3;170;USA;67;17.4;6.6;3.1;1.4;0.51;0.702;0.461;0.25;;;
Isaiah Thomas;LAL;PG;28;5-9;185;USA;17;26.8;15.6;5;2.1;0.35;0.921;0.429;0.327;;;
Isaiah Whitehead;BKN;PG;22;6-4;213;USA;16;11.2;6.3;1.3;1.6;0.5;0.684;0.485;0.389;;;
Ish Smith;DET;PG;29;6-0;175;USA;82;24.9;10.9;4.4;2.7;0.78;0.698;0.506;0.347;;;
Ivan Rabb;MEM;PF;20;6-10;220;USA;36;14.3;5.6;0.9;4.4;0.33;0.806;0.566;0;;;
Ivica Zubac;LAL;C;20;7-1;240;Croatia;43;9.5;3.7;0.6;2.8;0.19;0.765;0.504;0;;;
J.J. Barea;DAL;PG;33;6-0;185;Puerto Rico;69;23.2;11.6;6.3;2.9;0.51;0.784;0.499;0.367;;;
Jabari Bird;BOS;SG;23;6-6;198;USA;13;8.8;3;0.6;1.5;0.23;0.462;0.632;0.429;;;
Jabari Parker;MIL;SF;22;6-8;250;USA;31;24;12.6;1.9;4.8;0.81;0.741;0.514;0.383;;;
Jack Cooley;SAC;F;26;6-10;274;USA;7;12.5;5.7;0.9;4.3;0.14;0.737;0.481;0;;;
Jacob Pullen;PHI;PG;28;6-1;200;USA;3;2;0.7;0;0;0;0;1;0;;;
Jacob Wiley;BKN;SF;23;6-8;223;USA;5;6.7;0.8;0.4;2.2;0.2;0.5;0;0.5;;;
Jae Crowder;UTA;SF;27;6-6;235;USA;53;25.4;8.6;1.1;3.3;0.77;0.848;0.508;0.328;;;
Jahlil Okafor;BKN;C;22;6-11;260;USA;26;12.6;6.4;0.4;2.9;0.12;0.76;0.576;0.25;;;
